initial_queue_waiting_time,algorithm,metric_type,sample_id,value
3,ROFF,energy_consumption,12,116147.72387024097
3,ROFF,energy_consumption,13,153544.90601512394
3,ROFF,energy_consumption,14,112100.6292940733
3,ROFF,energy_consumption,15,116603.72094119556
3,ROFF,energy_consumption,16,127368.07038981016
3,ROFF,energy_consumption,17,118202.53624742308
3,ROFF,energy_consumption,18,156233.63483112378
3,ROFF,energy_consumption,19,114856.03238475323
3,ROFF,energy_consumption,20,119635.56841199833
3,ROFF,energy_consumption,21,125728.44589956691
3,ROFF,energy_consumption,22,116835.94875203805
3,ROFF,energy_consumption,23,152176.9836557227
3,ROFF,energy_consumption,24,115751.40022109787
3,ROFF,energy_consumption,25,119342.90848166557
3,ROFF,energy_consumption,26,133375.09143445815
3,ROFF,energy_consumption,27,119482.5820411748
3,ROFF,energy_consumption,28,156919.48523415657
3,ROFF,energy_consumption,29,117633.85763457364
3,ROFF,energy_consumption,30,113689.43436729116
3,ROFF,energy_consumption,31,132951.87215879268
3,ROFF,energy_consumption,32,115359.4951396688
3,ROFF,energy_consumption,33,151905.05636167838
3,ROFF,energy_consumption,34,116606.62099409336
3,ROFF,energy_consumption,35,121077.84957652175
3,ROFF,energy_consumption,36,127055.21481823125
3,ROFF,energy_consumption,37,117090.82782691189
3,ROFF,energy_consumption,38,149394.4416851585
3,ROFF,energy_consumption,39,112354.94496389099
3,ROFF,energy_consumption,40,117702.17075667898
3,ROFF,energy_consumption,41,128708.40035203275
3,ROFF,energy_consumption,42,112824.33243406145
3,ROFF,energy_consumption,43,148950.15485038474
3,ROFF,energy_consumption,44,112472.00753236686
3,ROFF,energy_consumption,45,119823.24586840645
3,ROFF,energy_consumption,46,126506.96622626577
3,ROFF,energy_consumption,47,118814.08829628782
3,ROFF,energy_consumption,48,152023.22393498127
3,ROFF,energy_consumption,49,110277.8087765789
3,ROFF,energy_consumption,50,115801.85172941393
3,ROFF,energy_consumption,51,127730.20267680139
3,ROFF,energy_consumption,52,110493.9337757122
3,ROFF,energy_consumption,53,150365.8097586034
3,ROFF,energy_consumption,54,114033.49444551511
3,ROFF,energy_consumption,55,119901.4673088996
3,ROFF,energy_consumption,56,129928.62431295005
3,ROFF,energy_consumption,57,117807.4545583081
3,ROFF,energy_consumption,58,149309.16433799852
3,ROFF,energy_consumption,59,115748.90018294596
3,ROFF,energy_consumption,60,117854.66317738364
3,ROFF,energy_consumption,61,130693.8346571121
3,ROFF,energy_consumption,62,115734.28893853567
3,ROFF,energy_consumption,63,150830.62031210423
3,ROFF,energy_consumption,64,114304.8321481065
3,ROFF,energy_consumption,65,114819.58583178147
3,ROFF,energy_consumption,66,131569.8961727851
3,ROFF,energy_consumption,67,117781.56473841234
3,ROFF,energy_consumption,68,148190.66156582607
3,ROFF,energy_consumption,69,112642.11228259534
3,ROFF,energy_consumption,70,116192.18785782032
3,ROFF,energy_consumption,71,130756.78036493566
3,ROFF,energy_consumption,72,116620.9546145148
3,ROFF,energy_consumption,73,147079.546732133
3,ROFF,energy_consumption,74,115203.14594324169
3,ROFF,energy_consumption,75,119225.50212401932
3,ROFF,energy_consumption,76,131094.11917388014
3,ROFF,energy_consumption,77,115480.95439531053
3,ROFF,energy_consumption,78,151491.09690160578
3,ROFF,energy_consumption,79,114346.57766543886
3,ROFF,energy_consumption,80,115638.88006514306
3,ROFF,energy_consumption,81,132465.1619981836
3,ROFF,energy_consumption,82,117101.41419941983
3,ROFF,energy_consumption,83,155297.52742243084
3,ROFF,energy_consumption,84,114573.65932626324
3,ROFF,energy_consumption,85,116033.11084288427
3,ROFF,energy_consumption,86,125836.45420310732
3,ROFF,energy_consumption,87,114934.03753153869
3,ROFF,energy_consumption,88,148719.4191389204
3,ROFF,energy_consumption,89,114797.4922279579
3,ROFF,energy_consumption,90,120607.22226223373
3,ROFF,energy_consumption,91,133102.98418211495
3,ROFF,energy_consumption,92,114458.64026852386
3,ROFF,energy_consumption,93,144495.34461535027
3,ROFF,energy_consumption,94,117615.49536831184
3,ROFF,energy_consumption,95,122717.54448074536
3,ROFF,energy_consumption,96,129894.06315708961
3,ROFF,energy_consumption,97,122726.69622714509
3,ROFF,energy_consumption,98,151543.18778073904
3,ROFF,energy_consumption,99,111644.28133685172
3,GTT,energy_consumption,0,30.376760094281735
3,GTT,energy_consumption,1,0.15919741619196218
3,GTT,energy_consumption,2,0.25570493259092425
3,GTT,energy_consumption,3,0.28931577639350364
3,GTT,energy_consumption,4,35.34776842801861
3,GTT,energy_consumption,5,41.972763243448874
3,GTT,energy_consumption,6,0.13918112841699046
3,GTT,energy_consumption,7,0.23732254840797773
3,GTT,energy_consumption,8,0.28114634565831653
3,GTT,energy_consumption,9,27.861661445757658
3,GTT,energy_consumption,10,31.938292815880406
3,GTT,energy_consumption,11,0.1393032021251415
3,GTT,energy_consumption,12,0.22910828838619618
3,GTT,energy_consumption,13,0.3040759403365292
3,GTT,energy_consumption,14,33.51974450690444
3,GTT,energy_consumption,15,27.33685825967741
3,GTT,energy_consumption,16,0.1563929332139653
3,GTT,energy_consumption,17,0.21181042500211636
3,GTT,energy_consumption,18,0.2875571344788813
3,GTT,energy_consumption,19,38.06855250979806
3,GTT,energy_consumption,20,23.291934536537212
