initial_queue_waiting_time,algorithm,metric_type,sample_id,value
3,ROFF,energy_consumption,13,152404.30953758158
3,ROFF,energy_consumption,14,111704.00969346309
3,ROFF,energy_consumption,15,116749.28786200317
3,ROFF,energy_consumption,16,127000.78689539386
3,ROFF,energy_consumption,17,115448.74716775016
3,ROFF,energy_consumption,18,155289.3144165484
3,ROFF,energy_consumption,19,113758.98548677146
3,ROFF,energy_consumption,20,119565.91190749977
3,ROFF,energy_consumption,21,127383.32749109862
3,ROFF,energy_consumption,22,118859.117883186
3,ROFF,energy_consumption,23,149966.3958122414
3,ROFF,energy_consumption,24,113832.22373450709
3,ROFF,energy_consumption,25,119775.18383791042
3,ROFF,energy_consumption,26,132463.07747954677
3,ROFF,energy_consumption,27,119582.487713254
3,ROFF,energy_consumption,28,157127.52771099965
3,ROFF,energy_consumption,29,115213.2245568212
3,ROFF,energy_consumption,30,114780.22569639566
3,ROFF,energy_consumption,31,130684.52860759491
3,ROFF,energy_consumption,32,116452.39585667409
3,ROFF,energy_consumption,33,153818.6798685296
3,ROFF,energy_consumption,34,117078.4206244515
3,ROFF,energy_consumption,35,122549.36979402733
3,ROFF,energy_consumption,36,128164.81931635329
3,ROFF,energy_consumption,37,117241.58186702357
3,ROFF,energy_consumption,38,150375.21835386212
3,ROFF,energy_consumption,39,113013.0562642137
3,ROFF,energy_consumption,40,118989.56139477993
3,ROFF,energy_consumption,41,127326.2461362989
3,ROFF,energy_consumption,42,116754.84106929718
3,ROFF,energy_consumption,43,148212.34744525712
3,ROFF,energy_consumption,44,112074.39478407924
3,ROFF,energy_consumption,45,121496.38262933686
3,ROFF,energy_consumption,46,127363.70679662049
3,ROFF,energy_consumption,47,117505.05156691647
3,ROFF,energy_consumption,48,152918.09521495196
3,ROFF,energy_consumption,49,109775.16817352014
3,ROFF,energy_consumption,50,115325.26393295488
3,ROFF,energy_consumption,51,129575.72798031868
3,ROFF,energy_consumption,52,110520.83519054971
3,ROFF,energy_consumption,53,152951.80759119554
3,ROFF,energy_consumption,54,114708.85986768754
3,ROFF,energy_consumption,55,121733.70764267095
3,ROFF,energy_consumption,56,131076.60766756584
3,ROFF,energy_consumption,57,116699.10641777179
3,ROFF,energy_consumption,58,146957.44009370403
3,ROFF,energy_consumption,59,113562.24049578993
3,ROFF,energy_consumption,60,119315.22265837493
3,ROFF,energy_consumption,61,132176.84967024616
3,ROFF,energy_consumption,62,117902.28659096085
3,ROFF,energy_consumption,63,150393.64206643295
