step,greedy_reward,epsilon_sample_reward,constant_alpha_reward,greedy_inst,epsilon_inst,alpha_inst
4300,16495.4,16288.5,19644.2,5.99627,5.97503,7.23574
4310,16552.7,16352.1,19718.6,5.4435,6.21902,7.3712
4320,16609.8,16413,19791.6,5.35213,6.11878,7.39339
4330,16666.2,16474.8,19864.6,5.55457,6.01719,7.16131
4340,16721.7,16535.8,19937.2,5.59686,5.46924,6.69688
4350,16781.2,16595.8,20007.6,6.35317,6.86331,7.85191
4360,16840.3,16655.7,20079.1,6.16589,6.5459,7.73018
4370,16898.8,16716.6,20151.9,5.89248,6.18676,7.34673
4380,16957,16777.1,20223.3,5.8263,6.83789,8.04143
4390,17015.7,16841.3,20298.6,5.7086,6.85613,7.69423
4400,17074.3,16903,20371.3,5.82694,6.37352,7.40722
4410,17133.8,16967.6,20446.6,6.11051,6.46566,7.5104
4420,17194.1,17035.1,20525,5.84664,6.56105,7.70218
4430,17252.6,17098.7,20599.3,6.14332,5.49594,6.70703
4440,17311.1,17162.1,20673.5,6.07859,6.39686,7.12856
4450,17369.6,17223.4,20745.7,5.76787,6.4262,7.5105
4460,17428.4,17289.4,20822.6,5.70039,6.06238,7.29554
4470,17486.2,17354.7,20900.4,5.87629,6.25605,7.57591
4480,17543.2,17415.3,20973.7,5.87998,6.22996,7.61368
4490,17601.4,17478.9,21048.5,5.8374,6.55879,7.72694
4500,17658.9,17540.9,21122.5,5.72268,5.64268,6.69979
4510,17716.6,17601.1,21194.6,5.59419,5.61399,6.78273
4520,17773.2,17661.8,21267.6,5.82402,6.85108,8.02096
4530,17832.1,17723,21340.3,6.10876,6.21142,7.64936
4540,17891,17786.1,21416.4,6.08742,6.37897,7.63084
4550,17951.1,17847.3,21489.1,5.99486,5.58328,6.70806
4560,18011.3,17909,21562.2,5.94984,6.42254,7.65773
4570,18071.3,17970.4,21634.9,5.89236,6.56578,7.82539
4580,18131,18031.9,21708.9,6.00603,6.9661,8.34561
4590,18191.3,18095.4,21785.1,5.89954,6.32564,7.50907
4600,18250.9,18156.3,21857.9,5.80543,5.87875,6.6956
4610,18310.3,18216.8,21930.8,5.6862,5.3963,6.57257
4620,18370.9,18278.8,22004.9,5.99537,6.39521,7.69069
4630,18430.8,18336.3,22074.7,6.00382,5.74116,7.07032
4640,18490.1,18397.8,22148.1,6.17525,6.87735,8.05284
4650,18549.3,18462.4,22224.9,5.8159,6.62744,7.93333
4660,18607,18527.3,22302.1,5.57328,6.83951,7.92005
4670,18662.5,18590.6,22378.6,5.35918,6.27701,7.6205
4680,18718.5,18654.8,22455.2,5.65476,6.93491,8.28167
4690,18773.6,18717.9,22531.1,5.66686,6.13393,7.54574
4700,18829,18779.2,22604.9,5.65792,6.37816,7.81126
4710,18885,18842,22680,5.55299,5.37022,6.41433
4720,18941.4,18906.8,22758.4,5.47731,6.12137,7.49613
4730,18998.9,18968.8,22833.8,5.96706,6.56799,8.03998
4740,19056.8,19030.2,22908.1,5.74919,6.28086,7.69825
4750,19115.3,19092.5,22983.8,6.0003,6.51127,7.88598
4760,19172,19154.7,23059.1,5.73165,5.62124,6.6851
4770,19229.9,19218.4,23137.1,5.56006,6.17142,7.54808
4780,19286.9,19281.7,23214.7,5.92265,6.19052,7.63706
4790,19343.9,19344.5,23291.6,5.81885,5.70027,7.11252
4800,19400,19404.6,23365,5.6436,5.39061,6.59604
4810,19456.2,19462.5,23437.4,5.86244,7.24754,8.65362
4820,19512.4,19526.3,23516.1,5.5738,6.21236,7.77147
4830,19569.2,19587.7,23592.8,5.96828,5.07427,6.55258
4840,19626.6,19649.9,23669.9,5.70219,6.50696,7.88112
4850,19683.8,19714.5,23749.2,5.59495,6.25305,7.79167
4860,19740.2,19776.4,23826.4,5.84259,6.61852,8.39109
4870,19795.8,19839.4,23905.3,5.52541,5.6129,7.00874
4880,19851.3,19900.1,23981.1,5.68028,5.24237,6.94382
4890,19907.4,19960.1,24055.8,5.41715,6.33376,7.83287
4900,19962.8,20019.6,24130.5,5.74972,6.21333,7.95038
4910,20019.1,20078.3,24205.1,5.78262,5.87922,7.38169
4920,20075,20139.4,24280.8,5.87589,5.56026,6.99487
4930,20130.3,20202,24358.5,5.55139,5.81728,7.29869
4940,20186.3,20264.4,24435.9,5.96104,6.4547,7.96569
4950,20242.1,20324,24510.5,5.47102,6.30384,7.81969
4960,20299.3,20388,24591.2,5.61488,6.13235,7.93153
4970,20356,20450.8,24670.2,5.50619,6.07475,7.56077
4980,20413.6,20514.9,24750,5.74928,6.19033,7.47304
4990,20471,20575.7,24826.5,5.7542,6.26406,7.97367
