Algorithm,Avg Queue,Max Queue (Risk),Avg Latency,Avg Fairness
Random,19.756707932606894,32.350494146691624,0.9191278343588424,0.8852999388050784
SW-UCB,42.5322642805229,68.96302287354067,0.615648847520792,0.8758544355593864
Standard,23.16282783159916,42.89129063286046,0.6068296379070572,0.9197142416878108
Fuzzy,4.656131183085517,12.95759070133126,0.5379628594457019,0.9149475738072962
Bayesian,5.41700065911611,13.484989574905939,0.5405384944263545,0.9163996991423191
Levenshtein,5.571574263768348,12.116182401432093,0.6501645830102405,0.9091291761968109
